file,label,method,expected_count,detected_count,count_correct,prediction,exact_correct,edit_distance,segmentation_ms,warnings,error
data\segmentation_photos\Manula\Manula_05_label-9.jpg,9,components,1,1,1,4,0,1,97.203,,
data\segmentation_photos\Manula\Manula_05_label-9.jpg,9,projection,1,1,1,4,0,1,110.347,,
data\segmentation_photos\Manula\Manula_06_label-81.jpg,81,components,2,2,1,81,1,0,80.487,,
data\segmentation_photos\Manula\Manula_06_label-81.jpg,81,projection,2,2,1,81,1,0,83.571,,
data\segmentation_photos\Manula\Manula_07_label-420.jpg,420,components,3,3,1,420,1,0,94.425,,
data\segmentation_photos\Manula\Manula_07_label-420.jpg,420,projection,3,2,0,47,0,2,103.035,,
data\segmentation_photos\Manula\Manula_08_label-615.jpg,615,components,3,3,1,615,1,0,87.075,,
data\segmentation_photos\Manula\Manula_08_label-615.jpg,615,projection,3,3,1,615,1,0,90.246,,
data\segmentation_photos\Manula\Manula_09_label-6917.jpg,6917,components,4,4,1,6917,1,0,117.284,,
data\segmentation_photos\Manula\Manula_09_label-6917.jpg,6917,projection,4,4,1,6917,1,0,119.436,,
data\segmentation_photos\Manula\Manula_10_label-485.jpg,485,components,3,3,1,485,1,0,126.309,,
data\segmentation_photos\Manula\Manula_10_label-485.jpg,485,projection,3,3,1,485,1,0,124.502,,
data\segmentation_photos\Paarth\Paarth_01_label-0.jpg,0,components,1,1,1,0,1,0,14.163,,
data\segmentation_photos\Paarth\Paarth_01_label-0.jpg,0,projection,1,1,1,0,1,0,15.933,,
data\segmentation_photos\Paarth\Paarth_02_label-5.jpg,5,components,1,1,1,5,1,0,12.711,,
data\segmentation_photos\Paarth\Paarth_02_label-5.jpg,5,projection,1,1,1,5,1,0,14.386,,
data\segmentation_photos\Paarth\Paarth_03_label-3.jpg,3,components,1,1,1,3,1,0,11.774,,
data\segmentation_photos\Paarth\Paarth_03_label-3.jpg,3,projection,1,1,1,3,1,0,12.286,,
data\segmentation_photos\Paarth\Paarth_04_label-7.jpg,7,components,1,1,1,7,1,0,11.196,,
data\segmentation_photos\Paarth\Paarth_04_label-7.jpg,7,projection,1,1,1,7,1,0,13.341,,
data\segmentation_photos\Paarth\Paarth_05_label-9.jpg,9,components,1,1,1,7,0,1,17.978,,
data\segmentation_photos\Paarth\Paarth_05_label-9.jpg,9,projection,1,1,1,7,0,1,17.264,,
data\segmentation_photos\Paarth\Paarth_06_label-999.jpg,999,components,3,3,1,494,0,2,13.992,,
data\segmentation_photos\Paarth\Paarth_06_label-999.jpg,999,projection,3,3,1,494,0,2,13.747,,
data\segmentation_photos\Paarth\Paarth_07_label-103.jpg,103,components,3,3,1,103,1,0,13.942,,
data\segmentation_photos\Paarth\Paarth_07_label-103.jpg,103,projection,3,3,1,103,1,0,13.572,,
data\segmentation_photos\Paarth\Paarth_08_label-69.jpg,69,components,2,2,1,69,1,0,16.838,,
data\segmentation_photos\Paarth\Paarth_08_label-69.jpg,69,projection,2,2,1,69,1,0,16.635,,
data\segmentation_photos\Paarth\Paarth_09_label-67.jpg,67,components,2,2,1,67,1,0,17.146,,
data\segmentation_photos\Paarth\Paarth_09_label-67.jpg,67,projection,2,2,1,67,1,0,15.662,,
data\segmentation_photos\Paarth\Paarth_10_label-26.jpg,26,components,2,2,1,26,1,0,13.76,,
data\segmentation_photos\Paarth\Paarth_10_label-26.jpg,26,projection,2,2,1,26,1,0,15.266,,
data\segmentation_photos\Saniru\Saniru_01_label-3.jpeg,3,components,1,1,1,3,1,0,92.062,,
data\segmentation_photos\Saniru\Saniru_01_label-3.jpeg,3,projection,1,1,1,3,1,0,84.691,,
data\segmentation_photos\Saniru\Saniru_02_label-7.jpeg,7,components,1,1,1,7,1,0,88.804,,
data\segmentation_photos\Saniru\Saniru_02_label-7.jpeg,7,projection,1,1,1,7,1,0,89.102,,
data\segmentation_photos\Saniru\Saniru_03_label-9.jpeg,9,components,1,1,1,4,0,1,87.861,,
data\segmentation_photos\Saniru\Saniru_03_label-9.jpeg,9,projection,1,1,1,4,0,1,77.388,,
data\segmentation_photos\Saniru\Saniru_04_label-6.jpeg,6,components,1,1,1,6,1,0,75.321,,
data\segmentation_photos\Saniru\Saniru_04_label-6.jpeg,6,projection,1,1,1,6,1,0,92.089,,
data\segmentation_photos\Saniru\Saniru_05_label-2.jpeg,2,components,1,1,1,2,1,0,108.508,,
data\segmentation_photos\Saniru\Saniru_05_label-2.jpeg,2,projection,1,1,1,2,1,0,92.736,,
data\segmentation_photos\Saniru\Saniru_06_label-31.jpeg,31,components,2,2,1,31,1,0,118.89,,
data\segmentation_photos\Saniru\Saniru_06_label-31.jpeg,31,projection,2,2,1,31,1,0,115.002,,
data\segmentation_photos\Saniru\Saniru_07_label-1600.jpeg,1600,components,4,4,1,1600,1,0,115.668,,
data\segmentation_photos\Saniru\Saniru_07_label-1600.jpeg,1600,projection,4,4,1,1600,1,0,112.231,,
data\segmentation_photos\Saniru\Saniru_08_label-240.jpeg,240,components,3,3,1,140,0,1,141.488,,
data\segmentation_photos\Saniru\Saniru_08_label-240.jpeg,240,projection,3,3,1,140,0,1,123.569,,
data\segmentation_photos\Saniru\Saniru_09_label-8765.jpeg,8765,components,4,4,1,8765,1,0,118.151,,
data\segmentation_photos\Saniru\Saniru_09_label-8765.jpeg,8765,projection,4,4,1,8765,1,0,103.197,,
data\segmentation_photos\Saniru\Saniru_10_label-666.jpeg,666,components,3,3,1,666,1,0,139.896,,
data\segmentation_photos\Saniru\Saniru_10_label-666.jpeg,666,projection,3,3,1,666,1,0,130.807,,
