file,label,method,expected_count,detected_count,count_correct,prediction,exact_correct,edit_distance,segmentation_ms,warnings,error
data\segmentation_photos\Manula\Manula_04_label-8.jpg,8,components,1,1,1,8,1,0,146.512,,
data\segmentation_photos\Manula\Manula_04_label-8.jpg,8,projection,1,1,1,8,1,0,155.48,,
data\segmentation_photos\Manula\Manula_05_label-9.jpg,9,components,1,1,1,4,0,1,148.43,,
data\segmentation_photos\Manula\Manula_05_label-9.jpg,9,projection,1,1,1,4,0,1,144.016,,
data\segmentation_photos\Manula\Manula_06_label-81.jpg,81,components,2,2,1,81,1,0,109.269,,
data\segmentation_photos\Manula\Manula_06_label-81.jpg,81,projection,2,2,1,81,1,0,115.809,,
data\segmentation_photos\Manula\Manula_07_label-420.jpg,420,components,3,3,1,420,1,0,126.157,,
data\segmentation_photos\Manula\Manula_07_label-420.jpg,420,projection,3,2,0,47,0,2,138.18,,
data\segmentation_photos\Manula\Manula_08_label-615.jpg,615,components,3,3,1,615,1,0,124.676,,
data\segmentation_photos\Manula\Manula_08_label-615.jpg,615,projection,3,3,1,615,1,0,123.672,,
data\segmentation_photos\Manula\Manula_09_label-6917.jpg,6917,components,4,4,1,6917,1,0,157.78,,
data\segmentation_photos\Manula\Manula_09_label-6917.jpg,6917,projection,4,4,1,6917,1,0,162.184,,
data\segmentation_photos\Manula\Manula_10_label-485.jpg,485,components,3,3,1,485,1,0,154.322,,
data\segmentation_photos\Manula\Manula_10_label-485.jpg,485,projection,3,3,1,485,1,0,153.745,,
data\segmentation_photos\Paarth\Paarth_01_label-0.jpg,0,components,1,1,1,0,1,0,18.728,,
data\segmentation_photos\Paarth\Paarth_01_label-0.jpg,0,projection,1,1,1,0,1,0,18.153,,
data\segmentation_photos\Paarth\Paarth_02_label-5.jpg,5,components,1,1,1,5,1,0,13.594,,
data\segmentation_photos\Paarth\Paarth_02_label-5.jpg,5,projection,1,1,1,5,1,0,13.509,,
data\segmentation_photos\Paarth\Paarth_03_label-3.jpg,3,components,1,1,1,3,1,0,15.582,,
data\segmentation_photos\Paarth\Paarth_03_label-3.jpg,3,projection,1,1,1,3,1,0,14.01,,
data\segmentation_photos\Paarth\Paarth_04_label-7.jpg,7,components,1,1,1,7,1,0,14.241,,
data\segmentation_photos\Paarth\Paarth_04_label-7.jpg,7,projection,1,1,1,7,1,0,15.353,,
data\segmentation_photos\Paarth\Paarth_05_label-9.jpg,9,components,1,1,1,7,0,1,16.92,,
data\segmentation_photos\Paarth\Paarth_05_label-9.jpg,9,projection,1,1,1,7,0,1,16.642,,
data\segmentation_photos\Paarth\Paarth_06_label-999.jpg,999,components,3,3,1,494,0,2,22.628,,
data\segmentation_photos\Paarth\Paarth_06_label-999.jpg,999,projection,3,3,1,494,0,2,19.035,,
data\segmentation_photos\Paarth\Paarth_07_label-103.jpg,103,components,3,3,1,103,1,0,16.523,,
data\segmentation_photos\Paarth\Paarth_07_label-103.jpg,103,projection,3,3,1,103,1,0,17.807,,
data\segmentation_photos\Paarth\Paarth_08_label-69.jpg,69,components,2,2,1,69,1,0,21.264,,
data\segmentation_photos\Paarth\Paarth_08_label-69.jpg,69,projection,2,2,1,69,1,0,19.522,,
data\segmentation_photos\Paarth\Paarth_09_label-67.jpg,67,components,2,2,1,67,1,0,16.262,,
data\segmentation_photos\Paarth\Paarth_09_label-67.jpg,67,projection,2,2,1,67,1,0,18.37,,
data\segmentation_photos\Paarth\Paarth_10_label-26.jpg,26,components,2,2,1,26,1,0,14.883,,
data\segmentation_photos\Paarth\Paarth_10_label-26.jpg,26,projection,2,2,1,26,1,0,18.203,,
data\segmentation_photos\Saniru\Saniru_01_label-3.jpeg,3,components,1,1,1,3,1,0,112.37,,
data\segmentation_photos\Saniru\Saniru_01_label-3.jpeg,3,projection,1,1,1,3,1,0,112.284,,
data\segmentation_photos\Saniru\Saniru_02_label-7.jpeg,7,components,1,1,1,7,1,0,106.85,,
data\segmentation_photos\Saniru\Saniru_02_label-7.jpeg,7,projection,1,1,1,7,1,0,110.129,,
data\segmentation_photos\Saniru\Saniru_03_label-9.jpeg,9,components,1,1,1,4,0,1,110.557,,
data\segmentation_photos\Saniru\Saniru_03_label-9.jpeg,9,projection,1,1,1,4,0,1,113.97,,
data\segmentation_photos\Saniru\Saniru_04_label-6.jpeg,6,components,1,1,1,6,1,0,98.135,,
data\segmentation_photos\Saniru\Saniru_04_label-6.jpeg,6,projection,1,1,1,6,1,0,95.399,,
data\segmentation_photos\Saniru\Saniru_05_label-2.jpeg,2,components,1,1,1,2,1,0,103.902,,
data\segmentation_photos\Saniru\Saniru_05_label-2.jpeg,2,projection,1,1,1,2,1,0,104.326,,
data\segmentation_photos\Saniru\Saniru_06_label-31.jpeg,31,components,2,2,1,31,1,0,134.224,,
data\segmentation_photos\Saniru\Saniru_06_label-31.jpeg,31,projection,2,2,1,31,1,0,138.075,,
data\segmentation_photos\Saniru\Saniru_07_label-1600.jpeg,1600,components,4,4,1,1600,1,0,99.28,,
data\segmentation_photos\Saniru\Saniru_07_label-1600.jpeg,1600,projection,4,4,1,1600,1,0,91.697,,
data\segmentation_photos\Saniru\Saniru_08_label-240.jpeg,240,components,3,3,1,140,0,1,121.629,,
data\segmentation_photos\Saniru\Saniru_08_label-240.jpeg,240,projection,3,3,1,140,0,1,115.614,,
data\segmentation_photos\Saniru\Saniru_09_label-8765.jpeg,8765,components,4,4,1,8765,1,0,90.363,,
data\segmentation_photos\Saniru\Saniru_09_label-8765.jpeg,8765,projection,4,4,1,8765,1,0,104.585,,
data\segmentation_photos\Saniru\Saniru_10_label-666.jpeg,666,components,3,3,1,666,1,0,127.765,,
data\segmentation_photos\Saniru\Saniru_10_label-666.jpeg,666,projection,3,3,1,666,1,0,130.764,,
