file,label,method,prediction,correct,error,warning
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Manula\Manula_05_label-9.jpg,9,otsu,4,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_01_label-0.jpg,0,grayscale,0,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_01_label-0.jpg,0,fixed,0,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_01_label-0.jpg,0,otsu,0,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_02_label-5.jpg,5,grayscale,5,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_02_label-5.jpg,5,fixed,5,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_02_label-5.jpg,5,otsu,5,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_03_label-3.jpg,3,grayscale,3,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_03_label-3.jpg,3,fixed,3,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_03_label-3.jpg,3,otsu,3,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_04_label-7.jpg,7,grayscale,2,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_04_label-7.jpg,7,fixed,7,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_04_label-7.jpg,7,otsu,7,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_05_label-9.jpg,9,grayscale,5,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_05_label-9.jpg,9,fixed,5,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Paarth\Paarth_05_label-9.jpg,9,otsu,7,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_01_label-3.jpeg,3,grayscale,8,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_01_label-3.jpeg,3,fixed,3,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_01_label-3.jpeg,3,otsu,3,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_02_label-7.jpeg,7,grayscale,8,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_02_label-7.jpeg,7,fixed,7,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_02_label-7.jpeg,7,otsu,7,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_03_label-9.jpeg,9,grayscale,8,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_03_label-9.jpeg,9,fixed,1,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_03_label-9.jpeg,9,otsu,1,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_04_label-6.jpeg,6,grayscale,8,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_04_label-6.jpeg,6,fixed,6,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_04_label-6.jpeg,6,otsu,6,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_05_label-2.jpeg,2,grayscale,8,0,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_05_label-2.jpeg,2,fixed,2,1,,
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\team_photos\Saniru\Saniru_05_label-2.jpeg,2,otsu,2,1,,
